average_accuracy,dataset,forgetting,method,noise,parameter_overhead_percent,seed,task_free_accuracy_curve,task_free_average_accuracy,task_free_forgetting,task_free_route_accuracy
1.0,synthetic_images,0.0,BONSAI,0.1,1.5860640330683962,7,"[0.6944444444444444, 1.0, 1.0, 1.0]",1.0,0.0,1.0
0.25,synthetic_images,0.5555555555555555,EWC,0.1,0.0,7,"[0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.25]",0.25,0.5555555555555555,
0.25,synthetic_images,0.6666666666666666,SI,0.1,0.0,7,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.25]",0.25,0.6666666666666666,
0.25,synthetic_images,0.4444444444444444,PackNet,0.1,0.0,7,"[0.3333333333333333, 0.16666666666666666, 0.2222222222222222, 0.25]",0.25,0.4444444444444444,
0.3819444444444444,synthetic_images,0.0,PNN,0.1,300.0,7,"[0.3333333333333333, 0.3333333333333333, 0.1111111111111111, 0.1388888888888889]",0.1388888888888889,0.2222222222222222,0.22916666666666666
1.0,synthetic_images,0.0,BONSAI,0.1,1.5860640330683962,17,"[0.3333333333333333, 1.0, 1.0, 1.0]",1.0,0.0,1.0
0.25,synthetic_images,0.7777777777777777,EWC,0.1,0.0,17,"[0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.25]",0.25,0.7777777777777777,
0.25,synthetic_images,0.8888888888888888,SI,0.1,0.0,17,"[0.6666666666666666, 0.5, 0.3333333333333333, 0.25]",0.25,0.8888888888888888,
0.25,synthetic_images,0.6666666666666666,PackNet,0.1,0.0,17,"[0.6666666666666666, 0.5, 0.1111111111111111, 0.25]",0.25,0.6666666666666666,
0.5833333333333334,synthetic_images,0.0,PNN,0.1,300.0,17,"[0.6666666666666666, 0.18055555555555555, 0.14814814814814814, 0.08333333333333333]",0.08333333333333333,0.3703703703703704,0.25
1.0,synthetic_images,0.0,BONSAI,0.1,1.5860640330683962,27,"[0.3333333333333333, 1.0, 1.0, 1.0]",1.0,0.0,1.0
0.25,synthetic_images,1.0,EWC,0.1,0.0,27,"[1.0, 0.5, 0.3333333333333333, 0.25]",0.25,1.0,
0.25,synthetic_images,1.0,SI,0.1,0.0,27,"[1.0, 0.5, 0.3333333333333333, 0.25]",0.25,1.0,
0.25,synthetic_images,0.8611111111111112,PackNet,0.1,0.0,27,"[1.0, 0.2916666666666667, 0.3333333333333333, 0.25]",0.25,0.8611111111111112,
0.41666666666666663,synthetic_images,0.0,PNN,0.1,300.0,27,"[0.3333333333333333, 0.16666666666666666, 0.1111111111111111, 0.08333333333333333]",0.08333333333333333,0.1111111111111111,0.25
