accuracy_curve,average_accuracy,critical_fraction,critical_fraction_curve,dataset,forgetting,method,parameter_overhead_percent,route_accuracy,route_accuracy_entropy,route_accuracy_prototype,seed,task_one_accuracy_after,task_one_accuracy_before,task_two_accuracy,variant
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9992187470197678, 0.9993055529064603, 1.0]",1.0,0.6142975893599335,"[0.2002546959567017, 0.3319421257651642, 0.42031134173461826, 0.47888888888888886, 0.5172622652937614, 0.5466148723640399, 0.5692097627581498, 0.5872940430925222, 0.6017738359201774, 0.6142975893599335]",synthetic,-0.0006944470935397678,BONSAI,129.79942693409743,0.8575000166893005,0.7893750071525574,0.8575000166893005,7,1.0,1.0,1.0,full
"[1.0, 1.0, 1.0, 0.9984374940395355, 0.9987499952316284, 0.9989583293596903, 0.9991071394511631, 0.9992187470197678, 0.9993055529064603, 0.9993749976158142]",0.9993749976158142,0.6165142698808534,"[0.2002546959567017, 0.3316638842515303, 0.4205584383493946, 0.4797777777777778, 0.51847365233192, 0.5484646688864225, 0.5715992490186038, 0.589828897338403, 0.6042867701404286, 0.6165142698808534]",synthetic,0.0,BONSAI,129.79942693409743,0.8568750023841858,0.7668750286102295,0.8568750023841858,17,1.0,1.0,1.0,full
"[0.987500011920929, 0.9937500059604645, 0.993749996026357, 0.9953124970197678, 0.9975000023841858, 0.9979166686534882, 0.9982142874172756, 0.9976562485098839, 0.997916665342119, 0.9981249988079071]",0.9981249988079071,0.612773621501801,"[0.2002546959567017, 0.3316638842515303, 0.4190758586607363, 0.4777777777777778, 0.5160508782556027, 0.5453200147983722, 0.5678443420378905, 0.5858681875792142, 0.6002956393200296, 0.612773621501801]",synthetic,-0.0006944470935397678,BONSAI,129.79942693409743,0.8500000238418579,0.753125011920929,0.8500000238418579,27,0.987500011920929,0.987500011920929,1.0,full
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.6499030202272098,"[0.2002546959567017, 0.34001112966054536, 0.4415616506053867, 0.5177777777777778, 0.5764183323238441, 0.6226415094339622, 0.6499402628434886, 0.649873257287706, 0.6499630450849962, 0.6499030202272098]",synthetic,0.0,BONSAI,129.79942693409743,0.8543750047683716,0.7993749976158142,0.8543750047683716,7,1.0,1.0,1.0,no_ib
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.6499030202272098,"[0.2002546959567017, 0.34001112966054536, 0.4415616506053867, 0.5177777777777778, 0.5764183323238441, 0.6226415094339622, 0.6499402628434886, 0.649873257287706, 0.6499630450849962, 0.6499030202272098]",synthetic,0.0,BONSAI,129.79942693409743,0.8475000262260437,0.7850000262260437,0.8475000262260437,17,1.0,1.0,1.0,no_ib
"[0.987500011920929, 0.9937500059604645, 0.9958333373069763, 0.9968750029802322, 0.9975000023841858, 0.9979166686534882, 0.9982142874172756, 0.9984375014901161, 0.9986111124356588, 0.9987500011920929]",0.9987500011920929,0.6499030202272098,"[0.2002546959567017, 0.34001112966054536, 0.4415616506053867, 0.5177777777777778, 0.5764183323238441, 0.6226415094339622, 0.6499402628434886, 0.649873257287706, 0.6499630450849962, 0.6499030202272098]",synthetic,0.0,BONSAI,129.79942693409743,0.8500000238418579,0.7818750143051147,0.8500000238418579,27,0.987500011920929,0.987500011920929,1.0,no_ib
"[1.0, 0.996874988079071, 0.9958333373069763, 0.9968750029802322, 0.9987499952316284, 0.9989583293596903, 1.0, 1.0, 1.0, 1.0]",1.0,0.6235799390412857,"[0.2002546959567017, 0.3319421257651642, 0.4205584383493946, 0.48044444444444445, 0.5213002220876236, 0.5530891601923789, 0.5775729646697388, 0.5967997465145755, 0.6112342941611234, 0.6235799390412857]",synthetic,0.0,BONSAI,129.79942693409743,0.7943750023841858,0.7699999809265137,0.7943750023841858,7,1.0,1.0,1.0,no_orthogonal_rewire
"[1.0, 1.0, 0.9979166587193807, 1.0, 0.9987499952316284, 0.9979166587193807, 0.9991071394511631, 0.9992187470197678, 0.9993055529064603, 0.9993749976158142]",0.9993749976158142,0.6249653643668607,"[0.2002546959567017, 0.3316638842515303, 0.4217939214232765, 0.48288888888888887, 0.5243286896830204, 0.5556788753237144, 0.5797917733401604, 0.5985424588086184, 0.6127124907612712, 0.6249653643668607]",synthetic,0.0,BONSAI,129.79942693409743,0.7918750047683716,0.768750011920929,0.7918750047683716,17,1.0,1.0,1.0,no_orthogonal_rewire
"[0.987500011920929, 0.9937500059604645, 0.993749996026357, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9993055529064603, 0.9993749976158142]",0.9993749976158142,0.6231643114436132,"[0.2002546959567017, 0.3316638842515303, 0.4195700518902891, 0.4791111111111111, 0.5202907328891581, 0.5519792822789493, 0.5763782215395119, 0.595532319391635, 0.6103473762010347, 0.6231643114436132]",synthetic,-0.0013888875643412273,BONSAI,129.79942693409743,0.793749988079071,0.7699999809265137,0.793749988079071,27,1.0,0.987500011920929,1.0,no_orthogonal_rewire
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.6498821151902998,"[0.20013275804845668, 0.3421210305572199, 0.4430794430794431, 0.5150451354062187, 0.5659633665661952, 0.6062958171625701, 0.6381221035663913, 0.6499621785173979, 0.649919828968466, 0.6498821151902998]",synthetic,0.0,BONSAI,97.07932293395287,0.8506249785423279,0.7756249904632568,0.8506249785423279,7,1.0,1.0,1.0,fixed_capacity
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.6498821151902998,"[0.20013275804845668, 0.34122228879568606, 0.4425334425334425, 0.5150451354062187, 0.5659633665661952, 0.6060802069857697, 0.6379206125327423, 0.6499621785173979, 0.649919828968466, 0.6498821151902998]",synthetic,0.0,BONSAI,97.07932293395287,0.8487499952316284,0.7668750286102295,0.8487499952316284,17,1.0,1.0,1.0,fixed_capacity
"[0.987500011920929, 0.9937500059604645, 0.9958333373069763, 0.9968750029802322, 0.9975000023841858, 0.9979166686534882, 0.9982142874172756, 0.9976562485098839, 0.997916665342119, 0.9981249988079071]",0.9981249988079071,0.6498821151902998,"[0.20013275804845668, 0.341521869382864, 0.441987441987442, 0.5140421263791374, 0.5645722235103177, 0.6045709357481673, 0.6361071932299013, 0.6499621785173979, 0.649919828968466, 0.6498821151902998]",synthetic,0.0,BONSAI,97.07932293395287,0.8443750143051147,0.7606250047683716,0.8443750143051147,27,0.987500011920929,0.987500011920929,1.0,fixed_capacity
