accuracy_curve,average_accuracy,critical_fraction,critical_fraction_curve,dataset,forgetting,method,parameter_overhead_percent,route_accuracy,seed,task_one_accuracy_after,task_one_accuracy_before,task_two_accuracy,variant
"[1.0, 0.996874988079071, 0.9895833333333334, 0.9718749970197678, 0.9837499976158142, 0.987499992052714, 0.988392846924918, 0.9906249940395355, 0.991666661368476, 0.9924999952316285]",0.9924999952316285,1.0,"[0.10778039744021556, 0.21690804984843381, 0.3265409228696531, 0.43499494779387, 0.5385651734590772, 0.6436510609632873, 0.7472212866284944, 0.8492758504546986, 0.9452677669248906, 1.0]",synthetic,0.00833333863152398,BONSAI,0.0,0.6887500286102295,7,0.956250011920929,1.0,1.0,full
"[1.0, 0.9937500059604645, 0.975000003973643, 0.9859375059604645, 0.9675000071525574, 0.975000003973643, 0.9785714319774083, 0.9804687574505806, 0.9819444484180875, 0.9837500035762787]",0.9837500035762787,1.0,"[0.10811721118221623, 0.2164028292354328, 0.3262041091276524, 0.4358369821488717, 0.5395756146850792, 0.6428090266082856, 0.7460424385314921, 0.8480970023576961, 0.9452677669248906, 1.0]",synthetic,0.016666664017571345,BONSAI,0.0,0.6756250262260437,17,0.9437500238418579,1.0,1.0,full
"[0.9937499761581421, 0.984375, 0.9729166626930237, 0.9374999850988388, 0.9737500071525573, 0.9687499900658926, 0.96875, 0.9750000014901161, 0.9784722261958652, 0.9800000011920929]",0.9800000011920929,1.0,"[0.10811721118221623, 0.21690804984843381, 0.32603570225665207, 0.43162681037386325, 0.5348602222970698, 0.6387672617042776, 0.7414954530144829, 0.8432132030986864, 0.9447625463118895, 1.0]",synthetic,0.020138879617055256,BONSAI,0.0,0.6449999809265137,27,0.9125000238418579,0.9937499761581421,0.9937499761581421,full
"[1.0, 0.934374988079071, 0.9333333373069763, 0.9515624940395355, 0.9587499976158143, 0.9604166646798452, 0.9687499914850507, 0.9726562425494194, 0.9749999973509047, 0.9793749988079071]",0.9793749988079071,0.8945772987537891,"[0.22819131020545638, 0.3491074435836982, 0.4392051195688784, 0.5175143145840351, 0.5868979454361738, 0.6537554732233075, 0.7182553048164365, 0.7783765577635567, 0.8368137420006736, 0.8945772987537891]",synthetic,0.02222222089767456,BONSAI,0.0,0.6449999809265137,7,0.793749988079071,1.0,1.0,no_ib
"[1.0, 0.987500011920929, 0.9833333293596903, 0.9906249940395355, 0.9924999952316285, 0.9906249940395355, 0.9928571326392037, 0.992968738079071, 0.9944444364971585, 0.9924999952316285]",0.9924999952316285,0.8969349949477938,"[0.22937015830245874, 0.35786460087571575, 0.4488043112158976, 0.5264398787470529, 0.5932974065341866, 0.6566183900303132, 0.7192657460424385, 0.7807342539575615, 0.839508251936679, 0.8969349949477938]",synthetic,0.007638891537984212,BONSAI,0.0,0.7281249761581421,17,0.9437500238418579,1.0,1.0,no_ib
"[0.9937499761581421, 0.984375, 0.9916666746139526, 0.9921875, 0.9849999904632568, 0.9916666646798452, 0.992857141154153, 0.9953124970197678, 0.9951388835906982, 0.9949999988079071]",0.9949999988079071,0.8944088918827888,"[0.2273492758504547, 0.3548332771977097, 0.44627820815089253, 0.5223981138430448, 0.5929605927921859, 0.6562815762883125, 0.7182553048164365, 0.7792185921185585, 0.8381609969686763, 0.8944088918827888]",synthetic,0.004166662693023682,BONSAI,0.0,0.746874988079071,27,0.96875,0.9937499761581421,1.0,no_ib
"[1.0, 0.862500011920929, 0.7229166626930237, 0.7671875059604645, 0.8024999976158143, 0.7874999940395355, 0.7758928494794028, 0.8109375014901161, 0.8305555515819125, 0.8474999964237213]",0.8474999964237213,1.0,"[0.10778039744021556, 0.21892893230043786, 0.3315931289996632, 0.4422364432468845, 0.5483327719770966, 0.6537554732233075, 0.7593465813405187, 0.8622431795217245, 0.9452677669248906, 1.0]",synthetic,0.15763889418707955,BONSAI,0.0,0.48374998569488525,7,0.71875,1.0,1.0,no_orthogonal_rewire
"[1.0, 0.871874988079071, 0.7395833333333334, 0.7468750029802322, 0.7075000047683716, 0.787500003973643, 0.8133928520338876, 0.8359374925494194, 0.8388888835906982, 0.8549999952316284]",0.8549999952316284,1.0,"[0.10811721118221623, 0.2196025597844392, 0.3310879083866622, 0.4405523745368811, 0.5456382620410912, 0.6522398113843044, 0.7561468507915123, 0.8588750421017177, 0.9452677669248906, 1.0]",synthetic,0.15347222487131754,BONSAI,0.0,0.46687498688697815,17,0.625,1.0,1.0,no_orthogonal_rewire
"[0.9937499761581421, 0.831250011920929, 0.6854166785875956, 0.6921874955296516, 0.7524999976158142, 0.7270833452542623, 0.6910714251654488, 0.7492187507450581, 0.7958333326710595, 0.8162499994039536]",0.8162499994039536,1.0,"[0.10811721118221623, 0.2209498147524419, 0.3337824183226676, 0.44425732569888854, 0.5498484338160997, 0.6552711350623105, 0.7596833950825194, 0.8624115863927249, 0.9452677669248906, 1.0]",synthetic,0.20069443848397997,BONSAI,0.0,0.4412499964237213,27,0.6000000238418579,0.9937499761581421,1.0,no_orthogonal_rewire
"[1.0, 0.996874988079071, 0.9895833333333334, 0.9718749970197678, 0.9837499976158142, 0.987499992052714, 0.988392846924918, 0.9906249940395355, 0.991666661368476, 0.9924999952316285]",0.9924999952316285,1.0,"[0.10778039744021556, 0.21690804984843381, 0.3265409228696531, 0.43499494779387, 0.5385651734590772, 0.6436510609632873, 0.7472212866284944, 0.8492758504546986, 0.9452677669248906, 1.0]",synthetic,0.00833333863152398,BONSAI,0.0,0.6887500286102295,7,0.956250011920929,1.0,1.0,fixed_capacity
